#timestamp tx ty tz qx qy qz qw
1731151710.196992333 -0.002935786 -0.015057504 0.001911579 -0.045840041 0.830270583 -0.552601740 -0.056398283
1731151710.230359000 -0.008339611 -0.015683985 0.006419433 -0.045403426 0.830312029 -0.552574741 -0.056405842
1731151710.263725666 -0.007448849 -0.015014137 0.009439316 -0.044806611 0.829927734 -0.553186261 -0.056544539
1731151710.297092333 -0.013528340 -0.013631284 0.009846412 -0.044872674 0.829900752 -0.553072627 -0.057981496
1731151711.298092333 -0.003580412 -0.018594633 0.015927614 -0.024326510 0.772994727 -0.632190264 -0.047147029
1731151713.767225666 0.056645895 -0.005476839 0.113775937 -0.090269618 0.790097993 -0.605006245 0.039547457
1731151715.235359000 0.045303103 -0.004968683 0.063465516 -0.090745101 0.832201126 -0.545648448 -0.038397702
1731151715.535659000 0.037048945 -0.005110028 0.058312591 -0.088353863 0.840025115 -0.533147426 -0.048012741
1731151716.36159000 0.043601334 -0.010234854 0.058996880 -0.087701307 0.839313141 -0.534221856 -0.049688441
1731151717.237359000 0.010545959 -0.018093165 0.018662127 -0.091680347 0.856020237 -0.501823993 -0.083646571
1731151718.71525666 -0.008063308 0.004613259 -0.015420296 -0.085638955 0.850039132 -0.512262961 -0.087670421
1731151718.572025666 -0.023397620 -0.002353815 0.008553949 -0.071729250 0.833152629 -0.541533024 -0.086334207
1731151719.105892333 -0.039420161 -0.023001259 0.040736833 -0.036640099 0.797846403 -0.598427522 -0.063111972
1731151720.307092333 0.020556924 -0.060033278 -0.007800241 0.092370518 0.831635975 -0.540286852 0.089103364
1731151720.373825666 0.024221850 -0.056440938 -0.011769689 0.107176496 0.833887573 -0.531287724 0.104297976
1731151720.674125666 0.025312355 -0.041881682 -0.037661525 0.157146298 0.835299610 -0.508563778 0.137631706
1731151721.241359000 0.005945278 -0.072116046 -0.049957024 0.049952502 0.850679240 -0.520676817 0.052394943
1731151721.541659000 -0.011632357 -0.090334673 -0.059840268 -0.074638202 0.829553883 -0.550256399 -0.059054117
1731151721.675125666 -0.023279207 -0.097023850 -0.052835527 -0.123754636 0.805834650 -0.568023613 -0.112536580
1731151721.908692333 -0.026421832 -0.101944531 -0.032107299 -0.203131425 0.751225646 -0.597586988 -0.193099569
1731151722.275725666 -0.015049790 -0.107210140 -0.004869740 -0.283289911 0.673724796 -0.626323122 -0.271221446
1731151723.643759000 0.019673639 -0.094800417 -0.088748303 -0.005459143 0.795181573 -0.605897701 -0.023333221
1731151723.777225666 0.021810671 -0.090127098 -0.100992937 0.044000735 0.810454360 -0.583542529 0.026566549
1731151723.843959000 0.024089958 -0.087109206 -0.108016681 0.067092273 0.816720210 -0.571012352 0.049108240
1731151724.44159000 0.031147057 -0.079538180 -0.124776277 0.127532481 0.828933774 -0.534518081 0.104377616
1731151724.311092333 0.036191200 -0.069547194 -0.149682761 0.172602874 0.841854532 -0.489254377 0.148725753
1731151724.678125666 0.038212251 -0.066294889 -0.166452744 0.185925792 0.854853130 -0.453511538 0.170249850
1731151725.78525666 0.002712679 -0.108128022 -0.150155895 0.088122892 0.841241855 -0.527496415 0.079334919
1731151725.278725666 -0.011778349 -0.124168066 -0.129724011 0.021997477 0.819064160 -0.573026959 0.017032827
1731151725.412192333 -0.019854291 -0.129236497 -0.111703137 -0.023436730 0.803532299 -0.593959539 -0.031601133
1731151725.645759000 -0.031843939 -0.124957747 -0.077406301 -0.092908993 0.775180820 -0.612654919 -0.122949447
1731151725.946059000 -0.021587142 -0.113713872 -0.049934819 -0.166376262 0.729042819 -0.624044444 -0.226680480
1731151726.313092333 -0.004780721 -0.119599621 -0.044770208 -0.232690534 0.669077852 -0.650755263 -0.273326785
1731151726.880325666 0.019608241 -0.128843256 -0.098221925 -0.156743303 0.750940208 -0.618232935 -0.171196901
1731151726.947059000 0.023019969 -0.129215095 -0.101527606 -0.135111133 0.769129253 -0.606842451 -0.148079075
1731151727.47159000 0.023371340 -0.130652139 -0.104370659 -0.104365526 0.792059820 -0.591032427 -0.111488784
1731151727.147259000 0.023293172 -0.128140561 -0.105173283 -0.075894230 0.815092547 -0.569301286 -0.075896325
1731151727.380825666 0.027792320 -0.123249489 -0.124152518 -0.007356989 0.859313838 -0.511370424 0.005088380
1731151727.681125666 0.038547791 -0.108743669 -0.150190484 0.068041988 0.886535760 -0.447083664 0.097677182
