#timestamp tx ty tz qx qy qz qw
1731151714.163635333 -0.003757332 -0.010740272 0.010234104 -0.011738284 -0.602165534 0.798275123 -0.003963550
1731151714.197002000 -0.003706769 -0.010724183 0.010288497 -0.010379316 -0.601265498 0.798957089 -0.006296108
1731151714.230368666 -0.003758093 -0.005848814 0.015849221 -0.008998214 -0.600261197 0.799708516 -0.008474538
1731151714.263735333 -0.003658543 -0.008328084 0.017616981 -0.007538189 -0.599530330 0.800249216 -0.010380334
1731151715.331468666 -0.001996676 -0.000037635 0.020226256 0.004564320 -0.604342617 0.796473864 0.019456410
1731151715.498302000 -0.002838223 -0.005266281 0.033236753 0.000431683 -0.622668803 0.782130151 0.023575435
1731151715.998802000 0.004892553 -0.004971220 0.035385453 -0.011286866 -0.674108501 0.737369304 0.041675469
1731151717.867335333 -0.029649790 -0.009419865 -0.027244056 -0.020503007 -0.702142624 0.708956868 0.062892931
1731151719.769235333 -0.058548961 0.007373763 -0.022916444 -0.034389093 -0.621367518 0.777361992 0.091804857
1731151720.636768666 -0.081688434 -0.027012574 -0.018564858 -0.079037983 -0.600830675 0.793584608 0.054579916
1731151720.937068666 -0.074405825 -0.038272102 -0.014321028 -0.165665800 -0.589099428 0.790849742 -0.008566945
1731151721.237368666 -0.087653730 -0.039715442 -0.015928855 -0.251501442 -0.570007515 0.779702926 -0.062464423
1731151721.837968666 -0.075334144 -0.040156916 -0.030510293 -0.233780664 -0.593924307 0.769149288 -0.031778781
1731151722.138268666 -0.077981190 -0.055354209 -0.058752764 -0.106174769 -0.654539200 0.748213544 0.021951008
1731151722.438568666 -0.092017168 -0.052039358 -0.093841025 0.041886349 -0.676048831 0.726957346 0.112856234
1731151722.505302000 -0.097050568 -0.048107302 -0.098826177 0.074203057 -0.674359340 0.722659357 0.132275624
1731151722.939068666 -0.120654023 -0.044642088 -0.115468003 0.241007332 -0.642259609 0.693622232 0.219786853
1731151724.140268666 -0.102013353 -0.065871139 -0.114249739 0.052592271 -0.620068849 0.772450305 0.126764351
1731151724.440568666 -0.090498252 -0.067274395 -0.101868023 -0.100322763 -0.598002257 0.793927362 0.044810576
1731151724.640768666 -0.086899191 -0.060180219 -0.099528191 -0.191369193 -0.582777033 0.789737993 -0.007916087
1731151724.774235333 -0.087378577 -0.056127469 -0.095156533 -0.242274783 -0.574507469 0.781014835 -0.035495432
1731151725.308102000 -0.087653203 -0.050855444 -0.100213668 -0.346473641 -0.570216456 0.738298490 -0.098613129
1731151726.142268666 -0.116291565 -0.070992612 -0.100934683 -0.075453069 -0.623445135 0.775829091 0.060927992
1731151726.509302000 -0.113397399 -0.067547628 -0.102880320 0.067396947 -0.644546468 0.742078515 0.171280412
1731151726.976435333 -0.121444096 -0.067621668 -0.132903754 0.205323684 -0.624020775 0.711775033 0.248629360
1731151727.643768666 -0.103667280 -0.086849998 -0.132705319 0.094258568 -0.652463243 0.735785572 0.155005262
1731151728.211002000 -0.104442633 -0.099089493 -0.091373604 -0.165714701 -0.670233325 0.723165409 -0.018913458
1731151728.744868666 -0.105296709 -0.087079100 -0.086766579 -0.288037081 -0.660301141 0.683255920 -0.119157000
1731151730.179635333 -0.088539601 -0.109448261 -0.121484722 -0.007439177 -0.654541575 0.749978746 0.095141297
1731151730.479935333 -0.082777933 -0.098812902 -0.118097448 0.048371839 -0.652845599 0.755900262 -0.008220916
1731151730.913702000 -0.074668842 -0.044987455 -0.098207563 0.150460230 -0.674867489 0.697986474 -0.186361140
1731151731.414202000 -0.081361925 -0.047760134 -0.088284631 0.144928833 -0.639220777 0.742728353 -0.136919776
1731151731.647768666 -0.082264326 -0.068926600 -0.098070779 0.070965490 -0.625418979 0.777055335 -0.000077333
1731151731.814602000 -0.067020527 -0.087364445 -0.102516292 0.002942448 -0.610733028 0.784903421 0.104513778
1731151732.81535333 -0.047368661 -0.094541594 -0.101685226 -0.094006966 -0.608882969 0.752241615 0.233573913
1731151732.448568666 -0.030094297 -0.093558256 -0.081872703 -0.160565714 -0.599598806 0.711657962 0.329002839
1731151732.882335333 -0.057860518 -0.120032480 -0.076986681 -0.075640230 -0.551387188 0.793937366 0.244773740
1731151733.49168666 -0.064120070 -0.119605730 -0.072543479 -0.026207898 -0.566744118 0.809138276 0.153001639
1731151733.216002000 -0.074022141 -0.112162912 -0.062536483 0.024294841 -0.587467523 0.807685687 0.043994330
1731151733.482935333 -0.079965706 -0.089847856 -0.046189520 0.079467998 -0.613995202 0.778444395 -0.103532861
1731151733.883335333 -0.079051492 -0.063567444 -0.039623989 0.122878373 -0.620660028 0.740983518 -0.225001024
1731151734.550668666 -0.052399414 -0.088340064 -0.045349418 0.063153741 -0.557737211 0.819259478 -0.117280503
1731151734.850968666 -0.042089255 -0.114786635 -0.062702960 0.001436049 -0.534152722 0.845350546 0.007827024
1731151735.117902000 -0.045568501 -0.142126448 -0.067675733 -0.051425215 -0.512288039 0.849446831 0.115570295
1731151735.418202000 -0.045000897 -0.163456956 -0.076112559 -0.117720442 -0.502451505 0.825614310 0.228134596
1731151735.718502000 -0.042231188 -0.170518683 -0.078162823 -0.188649990 -0.512288869 0.771770422 0.326100770
1731151736.52168666 -0.052229458 -0.167122999 -0.076659171 -0.229024759 -0.512572611 0.726123789 0.396939821
1731151737.153268666 -0.086099426 -0.180071467 -0.058594200 -0.108697768 -0.553593392 0.800988935 0.200339405
1731151737.420202000 -0.081339886 -0.182851409 -0.052406347 -0.061399429 -0.571797810 0.811686794 0.102185724
1731151737.620402000 -0.063565449 -0.176443648 -0.044983010 -0.024643799 -0.592822437 0.804546096 0.025686978
1731151737.987435333 -0.026501711 -0.157086147 -0.030822985 0.046213266 -0.617795480 0.777020595 -0.111499207
1731151738.387835333 -0.010860684 -0.132813225 -0.014543007 0.118564856 -0.614336386 0.747557972 -0.222913117
1731151738.854968666 0.005000355 -0.150218441 -0.016154550 0.103936465 -0.581005046 0.791917557 -0.156514956
1731151739.322102000 0.001593893 -0.185932784 -0.018290775 0.039914614 -0.552197244 0.832696821 -0.010051493
1731151740.89535333 -0.027501673 -0.188755616 -0.010792373 0.001725027 -0.564851427 0.824266370 0.039049216
1731151741.57168666 -0.047212173 -0.206956374 -0.023784949 -0.020564017 -0.621719032 0.782383297 0.030314083
